first_name,middle_name,last_name,other_authors,title,series,series_num,description,copies,publisher,publish_date,pages,isbn10,isbn13,tags
Iain,,Banks,,"Quarry, The",,,"Kit doesn't know who his mother is. What he does know, however, is that his father, Guy, is dying of cancer. Feeling his death is imminent, Guy gathers around him his oldest friends - or at least the friends with the most to lose by his death. Paul - the rising star in the Labour party who dreads the day a tape they all made at university might come to light; Alison and Robbie, corporate bunnies whose relationship is daily more fractious; Pris and Haze, once an item, now estranged, and finally Hol - friend, mentor, former lover and the only one who seemed to care.

But what will happen to Kit when Guy is gone? And why isn't Kit's mother in the picture? As the friends reunite for Guy's last days, old jealousies, affairs and lies come to light as Kit watches on.",1,Abacus,2014-03-27,336,0349138591,9780349138596,"contemporary,drama"
Ben,,Kane,,Silver Eagle,Forgotten Legion Chronicles,2,"The second novel in the Forgotten Legion Chronicles takes Romulus, Brennus, Tarquinius and Fabiola, and places them in ever greater danger.

The Forgotten Legion -- ten thousand legionaries made captive by the Parthians -- has marched to Margiana on the edge of the known world. In its midst are Romulus, Brennus and Tarquinius, all men with good reason to hate Rome. Together the trio must face the savage tribes which constantly threaten the area. But other, more treacherous enemies lurk within the ranks of the Forgotten Legion itself. When all hope is lost, the three friends' characters will be tested to the utter limit.

Meanwhile in Rome, Fabiola, Romulus's twin sister, also fights to survive. Beset by enemies on all sides, she must travel to Gaul to find her lover, Caesar's right-hand man. There, tribal rebellion under the charismatic chieftain, Vercingetorix, threatens not just Caesar's route to power, but his life and the lives of all who support him.",1,Random House,2012-02-23,,0099579782,9780099579786,"action,adventure,historical fiction"
Cassandra,,Clark,,Parliament of Spies,Abbess of Meaux,4,"All the danger and intrigue of 14th-century England spring to life in this ""compelling"" (Publishers Weekly) series about the brave, incorruptible Abbess of Meaux.
Abbess Hildegard may consider herself ""just a nun with no useful skills or connections,"" yet her loyalty and intelligence have brought her to the attention of King Richard II himself—not the safest place to be, when the king has enemies on all sides. As Hildegard wrestles with her role as a spy in the parliament that is hastily gathering at Westminster, Cassandra Clark's A Parliament of Spies shows us the human side of history, giving readers new reason to follow Publishers Weekly's rallying cry: ""Medievalists rejoice!""",1,Allison & Busby,2012-10-29,416,0749012137,9780749012137,"crime,historical mystery"
Valerio,Massimo,Manfredi,,Alexander: The Sands of Ammon,Alexandros,2,"Continuing the epic saga of Alexander the Great. The Sands of Ammon brilliantly describes Alexander's quest to conquer Asia, the limitless domain ruled by the Great King of the Persians. In a seemingly impossible venture, Alexander and his men storm Persian fortresses and harbours, crippling King Daruis' domination of land and sea. Even the legendary Haliacarnassus is defeated by the Macedionan armies. Ruthlessly, Alexander's war machine moves ever onward taking him up into the snow-covered Anatolian highlands, and ever closer to his destiny. But there is much danger ahead. Despite the defeat of Daruis, the Island City of Tyre and the Towers of Gaza prove to be formidable obstacles. Undeterred, Alexander surges forth over land and sea to the mysterious land of Egypt And there, in the sands, lies the Oracle of Ammon, waiting to reveal an amazing truth to Alexander. One that will change his already amazing life.",1,Pan Books,2001-11-09,496,0330391712,9780330391719,historical fiction
J.K.,,Rowling,,"Casual Vacancy, The",,,"When Barry Fairbrother dies in his early forties, the town of Pagford is left in shock.

Pagford is, seemingly, an English idyll, with a cobbled market square and an ancient abbey, but what lies behind the pretty facade is a town at war.

Rich at war with poor, teenagers at war with their parents, wives at war with their husbands, teachers at war with their pupils... Pagford is not what it first seems.

And the empty seat left by Barry on the parish council soon becomes the catalyst for the biggest war the town has yet seen. Who will triumph in an election fraught with passion, duplicity and unexpected revelations?

A big novel about a small town, The Casual Vacancy is J.K. Rowling's first novel for adults. It is the work of a storyteller like no other.",1,Sphere,2013-07-18,576,0751552860,9780751552867,"contemporary,mystery"
Lee,,Child,,Gone Tomorrow,Jack Reacher,13,"New York City. Two in the morning. A subway car heading uptown. Jack Reacher, plus five other passengers. Four are okay. The fifth isn't. In the next few tense seconds Reacher will make a choice - and trigger an electrifying chain of events."" ""Susan Mark was the fifth passenger. She had a lonely heart, an estranged son, and a big secret. Reacher, working with a woman cop and a host of shadowy feds, wants to know just how big a hole Susan Mark was in, how many lives had already been twisted before hers, and what danger is looming around him now."" ""Because a race has begun through the streets of Manhattan in a maze crowded with violent, skilled soldiers on all sides of a shadow war. Susan Mark's plain little life was critical to dozens of others in Washington, California, Afghanistan ... from a former Delta Force operator now running for the U.S. Senate, to a beautiful young woman with a fantastic story to tell - and to a host of others who have just one thing in common: They're all lying to Reacher. A little. A lot. Or maybe just enough to get him killed.",1,Bantam,2010-02-18,544,0553824694,9780553824698,"action,crime,mystery,suspense,thriller"
Kate,,Morton,,"House at Riverton, The",,,"The House at Riverton is a gorgeous debut novel set in England between the wars. Perfect for fans of Downton Abbey, it is the story of an aristocratic family, a house, a mysterious death and a way of life that vanished forever, told in flashback by a woman who witnessed it all and kept a secret for decades. Grace Bradley went to work at Riverton House as a servant when she was just a girl, before the First World War. For years her life was inextricably tied up with the Hartford family, most particularly the two daughters, Hannah and Emmeline. In the summer of 1924, at a glittering society party held at the house, a young poet shot himself. The only witnesses were Hannah and Emmeline and only they -- and Grace -- know the truth. In 1999, when Grace is ninety-eight years old and living out her last days in a nursing home, she is visited by a young director who is making a film about the events of that summer. She takes Grace back to Riverton House and reawakens her memories. Told in flashback, this is the story of Grace's youth during the last days of Edwardian aristocratic privilege shattered by war, of the vibrant twenties and the changes she witnessed as an entire way of life vanished forever. The novel is full of secrets -- some revealed, others hidden forever, reminiscent of the romantic suspense of Daphne du Maurier. It is also a meditation on memory, the devastation of war and a beautifully rendered window into a fascinating time in history.",1,Pan Macmillan,,599,0330448447,9780330448444,"historical romance,mystery,romance"
Bernhard,,Schlink,,"Reader, The",,,"For 15-year-old Michael Berg, a chance meeting with an older woman leads to far more than he ever imagined. The woman in question is Hanna, and before long they embark on a passionate, clandestine love affair which leaves Michael both euphoric and confused. For Hanna is not all she seems.

Years later, as a law student observing a trial in Germany, Michael is shocked to realize that the person in the dock is Hanna. The woman he had loved is a criminal. Much about her behaviour during the trial does not make sense. But then suddenly, and terribly, it does - Hanna is not only obliged to answer for a horrible crime, she is also desperately concealing an even deeper secret.",2,Phoenix (an Imprint of The Orion Publishing Group Ltd ),2008-12-01,,0753823292,9780753823293,"adapted to screen,classics,historical fiction,psychological fiction,romance,war story"
Anita,,Shreve,,Sea Glass,,,"The year is 1929 and Honora Beecher and her husband, Sexton, are just settling into a new marriage and a cottage on the coast of New Hampshire. While Honora fixes up the derelict house and searches for bits of sea glass on the beach, Sexton risks everything they own to buy the house they both love. Along with millions of other Americans, he is blindsided by the stock market crash and finds himself penniless. The only work he can find is at a nearby mill, where a labour conflict is erupting into violence. Shaken by forces they scarcely understand, Honora and Sexton try to build a marriage and home while overwhelmed by passions of every kind.

Writing with the power and immediacy that have made her novels bestsellers, Shreve unfolds interlocking lives, each with its own share of love, loss and challenge. This is another gripping and unforgettable story of the human heart from one of the most accomplished novelists of our time.",2,Abacus,2002-11-21,368,0349115176,9780349115177,"domestic fiction,historical fiction,relationships,romance"
Jane,,Green,,"Other Woman, The",,,"Ellie and Dan are living proof that opposites attract. He always follows instructions and she throws the manual away. He loves sports whereas Ellie's allergic to any form of exercise. Ellie doesn't have a mother. And Dan does - a mother who wants to take over ...Everything. At first Ellie is thrilled to have Linda as her 'adopted' mother but when she and Dan decide to get married and wedding plans progress, she starts to wonder: is it normal for Linda and Dan to speak on the phone twice a day? How on earth do they come to be having a reception with Chilean bloody seabass and humongous bloody white ribbons tied everywhere when all she wanted was a quiet registry office? In fact, is she marrying Dan ...Or his mother?",1,Penguin,2005-05-19,448,0014029595,9780140295955,"chick lit,romance"
