first_name,middle_name,last_name,other_authors,title,series,series_num,description,copies,publisher,publish_date,pages,isbn10,isbn13,tags
Alice,,Adams,,Families And Survivors,,,"Alice Adams’ second novel is the portrait of a Southern-born woman as she reviews her life.
 
From Louisa Calloway’s Southern girlhood to her debut to her first marriage, all the time surrounded by a certain tradition and all the time resisting. In lieu of her conservative, bigoted father, she chooses men who are liberal, free-spoken, Jewish. Nevertheless her first marriage is unhappy, but her second promises to be sounder, as she discovers what she really wants, can have, can become—what she really is.",1,Vintage,2011-06-08,288,,,"literary fiction,relationships"
Emily,,Barr,,Atlantic Shift,,,"Gorgeous, world-famous cellist Evie Silverman is classical-lite through and through. Real musicians despise her. Her talent has been promoted way beyond its value because - apparently - everyone loves a blonde girl in lipstick who can do interesting things between her thighs. She's played for the President of the United States. She's played at No 10 Downing Street. And tonight she's playing for Royalty.

But tonight she's also going to change her life. Tonight she's going to leave her husband. Tonight, for the first time in fifteen years, she's going to stand on her own two feet. For tomorrow begins her new life - starting with a trip to New York.

It all too soon becomes apparent that breaking the rules - and escaping from your past - isn't what it's cracked up to be...",1,Hachette UK,2010-11-11,284,,,"chick lit,music and arts,relationships"
Maeve,,Binchy,,Nights of Rain and Stars,,,"The lives of four strangers are forever altered when they meet in a Greek seaside village in this compelling novel from #1 New York Times bestselling author Maeve Binchy.

Tourists enter the hilltop tavern, alone and in pairs, for a casual lunch. But a sudden tragedy in the harbor below causes these perfect strangers to become unlikely friends as their lives begin to entwine...

Fiona left her nursing career in Ireland to be with the man everyone thinks is wrong for her. Elsa fled Germany and her high-powered television job once she learned what the man she loved was hiding from her. Thomas mourns his failed marriage and misses his young son in California, while David yearns to reconcile with his family in England without having to go into the family business. Chance has brought them together, and together they will find new ways of looking at the lives they left behind.",1,Berkley Books,2008-07-29,325,,,"chick lit,relationships,romance"
Hilary,,Boyd,,When You Walked Back into My Life,,,"For eight years Flora's love affair with Fin was a whirlwind of fun and spontaneity - but when Flora wanted to settle down and have children, Fin vanished. Life moved on and Flora's world filled with other people, other cares. There were benefits to being single - no socks under the bed, no mess in the bathroom - even if the memory of Fin could never be completely erased. But then suddenly, shockingly, Fin reappears. He's a changed man, he says, and her wants her back. Is this a chance to put right the wrongs? Or a massive mistake?",1,Quercus Publishing,2013-10-10,432,,,"chick lit,romance"
Agatha,,Christie,,Curtain: Poirot's Last Case,Hercule Poirot,42,"The house guests at Styles seemed perfectly to Captain Hastings: there was his own daughter Judith, an inoffensive ornithologist called Norton, dashing Mr Allerton, brittle Miss Cole, Doctor Franklin and his fragile wife Barbara, Nurse Craven, Colonel Luttrell and his charming wife Daisy, and the charismatic Boyd-Carrington. So Hastings was shocked when Poirot declared that one of them was a five-times murderer. True, the ageing detective was crippled with arthritis, but had his deductive instincts finally deserted him?...",1,Harper Collins,2006-10-03,240,,,"crime,mystery,thriller"
Jackie,,Collins,,Hollywood Divorces,,,"Hollywood Divorces takes you behind the scenes of the Hollywood divorce wars with stories ripped from the headlines. Sex, scandal, drugs and power – Hollywood Divorces covers every decadent minute.

Shelby, Lola and Cat. Three unforgettable, strong women making their way along the treacherous trails of divorce and coming out on top. Three beautiful and sexy women, determined to get things done their way, and succeeding against all odds.",1,"Simon & Schuster, Limited",2009-05-05,512,,,"celebrity,romance"
Catherine,,Cookson,,"Tinker's Girl, The",,,"Cumbria, 1870s.

Just before her fifteenth birthday Jinnie Howlett is offered a position as maid-of-all-work at a farm near the Cumbrian border. She hopes this will be a welcome relief from the workhouse she knows too well.

But when she meets her brutish employers Jinnie realises she has only exchanged one life of drudgery for another. She is grateful when one of the sons befriends her, but it isn't long before Jennie sees how tempting life is beyond her place of work . . .

Catherine Cookson was the original and bestselling saga writer, selling over 100 million copies of her novels. If you like Dilly Court, Katie Flynn or Donna Douglas, you'll love Catherine Cookson.",1,Transworld Publishers Limited,2016-04-07,480,,,"historical fiction,historical romance,romance"
Matthew,,Crow,,My Dearest Jonah,,,"'Like you I've been feeling forlorn of late. I don't know how long you have to be somewhere before it begins to feel normal, before you start to feel as though you belong... And so all I have is you. Your letters and the thought that somewhere, something good exists in my life. For now that seems enough to get by on.'

Introduced via a pen-pal scheme, Verity and Jonah write their lives, hopes and dreams to one another without ever having met. Verity is a fragile beauty. When a dangerous sequence of events is set in motion, she tries to explain to Jonah, what led her to unravel so spectacularly. Jonah has been released after years of imprisonment, and embarks upon the quiet life he's always wanted. But then a dark reminder shatters his world, keen to make history repeat itself. Offering the sole strand of stability in two progressively elaborate lives, they develop a deep and delicate love, a love that becomes clouded and threatened by increasingly dark forces.",1,Legend Press,2012-05-01,208,,,"epistolary,literary fiction,relationships"
AM,,Dean,,Lost Library,Emily Wess,1,"HE WAS THE KEEPER - Arno Holmstrand is about to die, his life cut short by an organization intent on laying claim to the secrets he has spent a lifetime guarding: the location of the lost Library of Alexandria, and the vast knowledge it has hidden for centuries.

SHE WILL INHERIT HIS LEGACY - Emily Wess is about to have her life change beyond all recognition. One minute she is a professor of history, the next she is on a journey to the far corners of the world, deciphering strange clues left by her mentor, Arno Holmstrand. She is being tested, but for what?

THEY WILL KILL FOR CONTROL - They are the Council and crave power and position. Their corruption spreads from the highest levels of government to the assassins they employ to commit their crimes. They will kill for the ancient knowledge contained in the Library. And Emily Wess has exactly what they want.",1,Pan Macmillan,2012-08-16,400,,,"adventure,mystery,suspense,thriller"
Jeffery,,Deaver,,Burning Wire,Lincoln Rhyme,9,"The weapon is invisible and omnipresent. Without it, modern society grinds to a halt. It is electricity. The killer harnesses and steers huge arc flashes with voltage so high and heat so searing that steel melts and his victims are set afire.

When the first explosion occurs in broad daylight, reducing a city bus to a pile of molten metal, officials fear terrorism. Rhyme, a world-class forensic criminologist known for his successful apprehension of the most devious criminals, is immediately tapped for the investigation. Long a quadriplegic, he assembles NYPD detective Amelia Sachs and officer Ron Pulaski as his eyes, ears and legs on crime sites, and FBI agent Fred Dellray as his undercover man on the street. As the attacks continue across the city at a sickening pace, and terrifying demand letters begin appearing, the team works desperately against time and with maddeningly little forensic evidence to try to find the killer. Or is it killers…?

Meanwhile, Rhyme is consulting on another high-profile investigation in Mexico with a most coveted quarry in his crosshairs: the hired killer known as the Watchmaker, one of the few criminals to have eluded Rhyme’s net.

Juggling two massive investigations against a cruel ticking clock takes a toll on Rhyme’s health. Soon Rhyme is fighting on yet another front—and his determination to work despite his physical limitations threatens to drive away his closest allies when he needs them most…",1,Simon and Schuster,2010-06-01,432,,,"crime,mystery,suspense,thriller"
Roddy,,Doyle,,Star Called Henry,The Last Roundup,1,"Born in the Dublin slums of 1901, his father a one-legged whorehouse bouncer and settler of scores, Henry Smart has to grow up fast. By the time he can walk he's out robbing and begging, often cold and always hungry, but a prince of the streets. By Easter Monday, 1916, he's fourteen years old and already six-foot-two, a soldier in the Irish Citizen Army. A year later he's ready to die for Ireland again, a rebel, a Fenian and a killer. With his father's wooden leg as his weapon, Henry becomes a Republican legend - one of Michael Collins' boys, a cop killer, an assassin on a stolen bike.",1,Penguin Random House,2008-09-04,352,,,"cultural,literary fiction,saga,war story"
Paul,,Eddy,,Mandrake,Grace Flint,2,"Grace Flint: The best undercover cop in the business and - since plastic surgeons re-built her shattered face - probably the most beautiful. Now Flint has a new career running operations, and she's running headlong into trouble.

Operation Pentecost: An elaborate sting designed by Flint to trap Karl Kremer, former East German spy turned financial manipulator. But Pentecost has become a snare for Flint's undercover agents. One agent is already dead, and the evidence of treachery is mounting.

Mandrake: MI6 codename for the traitor close enough to Flint to anticipate her every move. Who is Mandrake and who in the US government is determined to protect him?

In Paul Eddy's stunning second novel Grace Flint is back in the firing line, tougher, bolder (and in more trouble) than before.",1,Headline Publishing Group,2003-03-10,576,,,"crime,mystery,spy fiction,suspense,thriller"
Harriet,,Evans,,"Hopeless Romantic, A",,,"From the bestselling author of Going Home, which Sophie Kinsella hailed as “fabulous,” comes a novel sure to touch and delight anyone who believes in love.

Laura Foster is a hopeless romantic. Her friends know it, her parents know it—even Laura acknowledges she lives either with her head in the clouds or buried in a romance novel. It’s proved harmless enough, even if it hasn’t delivered her a real-life dashing hero yet. But when her latest relationship ends in a disaster that costs her friendships, her job, and nearly her sanity, Laura swears off men and hopeless romantic fantasies for good.

With her life in tatters around her, Laura agrees to go on vacation with her parents. After a few days of visiting craft shops and touring the stately homes of England, Laura is ready to tear her hair out. And then, while visiting grand Chartley Hall, she crosses paths with Nick, the sexy, rugged estate manager. She finds she shares more than a sense of humor with him—in fact, she starts to think she could fall for him. But is Nick all he seems? Or has Laura got it wrong again? Will she open her heart only to have it broken again?",1,Simon and Schuster,2007-10-09,544,,,"chick lit,contemporary,romance"
Nicci,,French,,Killing Me Softly,,,"Killing Me Softly, by the acclaimed and bestselling author Nicci French, is a terrifying journey into the heart of obsession . . .

You have everything. But you give it up for an affair.

You're in passionate love. And grave danger...

Alice Loudon couldn't resist abandoning her old, safe life for a wild affair. And in Adam Tallis, a rugged mountaineer with a murky past, she finds a man who can teach her things about herself that she never even suspected.

But sexual obsession has its dark side - and so does Adam. Soon both are threatening all that Alice has left. First her sanity. Then her life.",1,Penguin,2008-03-06,384,,,"crime,mystery,romance,suspense,thriller"
Robert,,Goddard,,Play To The End,,,"Actor Toby Flood, formerly of big and small screen but now seldom seen on either, arrives in Brighton on tour. Flood is visited that night by his estranged wife, Jenny, now living with wealthy entrepreneur Roger Colborn. Jenny runs a shop in the Lanes and is worried about a strange man who is hanging around outside. Roger has dismissed her concerns but Jenny persuades Toby to do something. The next day Flood trails the man and confronts him. Derek Oswin is an unemployed loner who blames Roger Colborn for his father's death from cancer on account of dangerous practices at the now-closed plastics factory run by Roger and his late father, Sir Walter Colborn. However, Oswin is a fan of Flood's and eventually he agrees to lay off. Then, Colborn gets wind of Flood's contact with Jenny and tries to buy him off, but Flood sees only a longed-for opportunity to win Jenny back, and continues to investigate the death of Sir Walter, seven years ago.",1,Corgi,2011-07-07,416,,,"mystery,thriller"
Iris,,Gower,,Dream Catcher,,,"The wedding of Llinos Savage, the young saviour of the Savage Pottery, and the fascinating Joe Mainwaring , sets the small sea front town of Swansea ablaze with gossip. Joe , born of an unlikely alliance between a native American squaw and a wealthy British businessman, is always perceived by the Swansea elite as a foreigner and an outsider. When Llinos's father dies after a long illness, she is devastated, but her grief turns to fear when Joe is accused of his father-in-law's murder by the local doctor and is incarcerated inside the walls of the castle along with thieves and debtors. There among the filth and dirt, Joe makes friends with an old Jewish man, and this brief friendship, formed in the most ill-fated circumstances, proves to be the catalyst to a series of events which unexpectedly threaten to destroy the marriage and the very lives of Joe and Llinos.

Iris Gower has created a wonderful background of the romantic china clay industry of South Wales for her new and dramatic novel sequence.",1,Random House,2010-06-29,400,,,"romance,saga"
