first_name,middle_name,last_name,other_authors,title,series,series_num,description,copies,publisher,publish_date,pages,isbn10,isbn13,tags
Joseph,,O'Connor,,"Comedian, The",,,"It is 1975 in a small town near Dublin. The Bay City Rollers are topping the charts. Starksy and Hutch rule the TV screen. In Northern Ireland, bombs are going off. And here, in this little town on the sea, a young boy's life is about to change forever.",1,New Island Books,2000-11-30,68,1902602374,9781902602370,"contemporary,cultural,literary fiction,novella"
Ben,,Okri,,Astonishing the Gods,,,"From Booker Prize winner Ben Okri, a deceptively simple modern fable with an ancient origin.

A young man finds himself living among invisible beings who have built a utopia based on one principle: that we must repeat or suffer every experience until we experience it properly and fully for the first time.",1,Phoenix House,1995-01-01,,1857993748,9781857993745,"cultural,fantasy,magical realism,novella,philosophy"
Ruth,Prawer,Jhabvala,,Shards of Memory,,,"This novel, set in both London and New York, concerns the family of a modern-day guru and leader of men, their difficulties in adjusting to the idea and how they cope.",1,"Penguin Books, Limited",1996-05-30,272,0140250883,9780140250886,"cultural,literary fiction,saga"
Ravinder,,Randhawa,,"Wicked Old Woman, A",,,"Stick-leg-shuffle-leg-shuffle: decked out with NHS specs and Oxfam coat, Kulwant masquerades behind her old women's disguise taking life or leaving it as she feels inclined, seeking new adventures or venturing back into her past.

Divorced from her husband, disapproved of by her sons, mistrusted by their wives, Kuli makes real contact through a jigsaw of meetings in the present with Bahadur the Punjabi punk who dusts her down after a carefully calculated fall, with Caroline, her gregarious friend from school days, who watched over her dizzy romance with 'Michael the archangel' with Maya the myopic who can't see beyond her weeping heart, and with Shanti who won't see, whose eyes will remain closed till her runaway daughter returns to the fold.

A sharply observed first novel set in an Asian community in a British city- a witty and confident piece of work from a talented new writer.",1,The Women's Press Ltd,1987-10-01,176,070434078X,9780704340787,"cultural,humour,literary fiction"
Sid,,Smith,,"House by the River, A",,,"In the wild highlands of southern China, a tribe of fisher folk must venture daily on to a fearsome river. Into their world of struggle and superstition arrives a young couple, John and Grace Gerrard. Raised among the teeming streets of Hong Kong and Canton, they now confront a culture so alien that it challenges their love - and their lives.

John is soon enthralled by the fisher folk, swept up by their dark gods and the invigorating dangers of the river. Meanwhile, Grace's missionary work only incites mistrust. Hoping to reconcile her Western religion with her Asian blood, she begins to develop an extraordinary theory . . .

But her insights provoke a murderous conspiracy. Parted by their enemies and the unforgiving river, John and Grace must find each other across the mountains and rapids of China's secret heart.",1,Picador,2004-01-02,272,033048124X,9780330481243,"adventure,contemporary,cultural"
Winston,,Graham,,Ross Poldark,The Poldark Saga,1,"It's 1783 and Ross Poldark returns weary from the gruesome war of American Independence to his beloved Cornwall to find his world in ruins. The joyful homecoming he has anticipated turns sour, for his father is dead, his estate is derelict and his fiancée, Elizabeth Chynoweth, having believed him dead, is engaged to his cousin. Poldark's keen sense of morality and social justice lead him to rescue a half-starved urchin girl from a fairground brawl and take her home - an act which alters the whole course of his life... About the Author Winston Graham was the author of more than forty novels, including The Walking Stick, Angell, Pearl and Little God, Stephanie and Tremor. His novels have been widely translated and his famous Poldark series has been developed into two television series shown in twenty-four countries. Six of Winston Graham's books have been filmed for the big screen, the most notable being Marnie, directed by Alfred Hitchcock. Winston Graham was a Fellow of the Royal Society of Literature and in 1983 was awarded the OBE. He died in July 2003. Now an eight-part drama series on BBC One starring Aidan Turner (The Hobbit) and Eleanor Tomlinson (Death Comes to Pemberley) as Ross Poldark and Demelza in Debbie Horsfield's adaptation of the sweeping saga.",1,Pan,2015-02-12,464,1447281527,9781447281528,"adapted to screen,historical fiction,historical romance,romance"
Winston,,Graham,,Demelza,The Poldark Saga,2,"A reissue of the second book in the legendary Poldark series, to tie in with the new BBC series.

Demelza Carne, the impoverished miner's daughter Ross Poldark rescued from a fairground rabble, is now his wife. But the events of these turbulent years test their marriage and their love.

Demelza's efforts to adapt to the ways of the gentry - and her husband - bring her confusion and heartache, despite her joy in the birth of their first child. Ross begins a bitter struggle for the rights of the mining communities - and sows the seed of an enduring enmity with powerful George Warleggan.",1,Pan,2015-02-12,528,1447281535,9781447281535,"historical fiction,historical romance,romance"
George,RR,Martin,,Storm of Swords,A Song of Ice and Fire,3,"Of the five contenders for power, one is dead, another in disfavor, and still the wars rage as violently as ever, as alliances are made and broken. Joffrey, of House Lannister, sits on the Iron Throne, the uneasy ruler of the land of the Seven Kingdoms. His most bitter rival, Lord Stannis, stands defeated and disgraced, the victim of the jealous sorceress who holds him in her evil thrall. But young Robb, of House Stark, still rules the North from the fortress of Riverrun. Robb plots against his despised Lannister enemies, even as they hold his sister hostage at King's Landing, the seat of the Iron Throne. Meanwhile, making her way across a blood-drenched continent is the exiled queen, Daenerys, mistress of the only three dragons still left in the world. But as opposing forces maneuver for the final titanic showdown, an army of barbaric wildlings arrives from the outermost line of civilization. In their vanguard is a horde of mythical Others--a supernatural army of the living dead whose animated corpses are unstoppable. As the future of the land hangs in the balance, no one will rest until the Seven Kingdoms have exploded in a veritable storm of swords.",1,Harper Collins,2011-09-01,688,0007447841,9780007447848,"adapted to screen,adventure,epic fantasy,fantasy"
George,RR,Martin,,Dance with Dragons I: Dreams and Dust,A Song of Ice and Fire,5,"A DANCE WITH DRAGONS: DREAMS AND DUST is the FIRST part of the fifth volume in the series.

In the aftermath of a colossal battle, new threats are emerging from every direction.

Tyrion Lannister, having killed his father, and wrongfully accused of killing his nephew, King Joffrey, has escaped from King's Landing with a price on his head.

To the north lies the great Wall of ice and stone – a structure only as strong as those guarding it. Eddard Stark's bastard son Jon Snow has been elected 998th Lord Commander of the Night’s Watch. But Jon has enemies both inside and beyond the Wall.

And in the east Daenerys Targaryen struggles to hold a city built on dreams and dust.",1,Harper Voyager,2012-03-15,704,0007466064,9780007466061,"adapted to screen,adventure,epic fantasy,fantasy"
George,RR,Martin,,Dance with Dragons II: After the Feast,A Song of Ice and Fire,5,"A DANCE WITH DRAGONS: AFTER THE FEAST is the SECOND part of the fifth volume in the series.

The future of the Seven Kingdoms hangs in the balance.

In King's Landing the Queen Regent, Cersei Lannister, awaits trial, abandoned by all those she trusted; while in the eastern city of Yunkai her brother Tyrion has been sold as a slave. From the Wall, having left his wife and the Red Priestess Melisandre under the protection of Jon Snow, Stannis Baratheon marches south to confront the Boltons at Winterfell. But beyond the Wall the wildling armies are massing for an assault...

On all sides bitter conflicts are reigniting, played out by a grand cast of outlaws and priests, soldiers and skinchangers, nobles and slaves. The tides of destiny will inevitably lead to the greatest dance of all.",1,Harper Voyager,2012-03-15,592,0007466072,9780007466078,"adapted to screen,adventure,epic fantasy,fantasy"
