first_name,middle_name,last_name,other_authors,title,series,series_num,description,copies,publisher,publish_date,pages,isbn10,isbn13,tags
Robert,,Jordan,,Eye of the World,The Wheel of Time,1,"The first novel in the Wheel of Time series - one of the most influential and popular fantasy epics ever published.

The Wheel of Time turns and Ages come and pass, leaving memories that become legend. Legend fades to myth and even myth is long forgotten when the Age that gave it birth returns again.

But one truth remains, and what mortal men forget, the Aes Sedai do not . . .

What was, what will be, and what is, may yet fall under the shadow.",1,Orbit,1991-12-12,832,1857230760,9781857230765,"adventure,epic fantasy,fantasy"
Robert,,Jordan,,Great Hunt,The Wheel of Time,2,"For centuries, gleemen have told the tales of The Great Hunt of the Horn. So many tales about each of the Hunters, and so many Hunters to tell of...

Now the Horn itself is found: the Horn of Valere long thought only legend, the Horn which will raise the dead heroes of the ages.

And it is stolen.

In pursuit of the thieves, Rand al’Thor is determined to keep the Horn out of the grasp of The Dark One. But he has also learned that he is The Dragon Reborn—the Champion of Light destined to stand against the Shadow time and again. It is a duty and a destiny that requires Rand to uncover and master magical capabilities he never imagined he possessed.",1,Orbit,1992-06-25,736,1857230272,9781857230277,"adventure,epic fantasy,fantasy"
Robert,,Jordan,,Dragon Reborn,The Wheel of Time,3,"The Land is One with the Dragon - and the Dragon is One with the Land.

The Shadow lies across the Pattern of the Age, and the Dark One has turned all his power against the prison that binds him. If it fails he will escape and nothing will stand in the storm that blows then . . . save the man that was born to battle the darkness: Rand al'Thor, the Dragon Reborn.

But to wage his war Rand must find Callandor, ancient Sword of the Dragon . . . and the Forsaken will shatter the world to thwart him.",1,"Little, Brown Book Group",1992-12-10,,1857230655,9781857230659,"adventure,epic fantasy,fantasy"
Robert,,Jordan,,Shadow Rising,The Wheel of Time,4,"The Wheel of Time turns and Ages come and go, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth returns again. In the Third Age, an Age of Prophecy, the World and Time themselves hang in the balance. What was, what will be, and what is, may yet fall under the Shadow.

The seals of Shayol Ghul are weak now, and the Dark One reaches out. The Shadow is rising to cover humankind.

In Tar Valon, Min sees portents of hideous doom. Will the White Tower itself be broken?

In the Two Rivers, the Whitecloaks ride in pursuit of a man with golden eyes, and in pursuit of the Dragon Reborn.

In Cantorin, among the Sea Folk, High Lady Suroth plans the return of the Seanchan armies to the mainland.

In the Stone of Tear, the Lord Dragon considers his next move. It will be something no one expects, not the Black Ajah, not Tairen nobles, not Aes Sedai, not Egwene or Elayne or Nynaeve.

Against the Shadow rising stands the Dragon Reborn...",1,Orbit,1993-05-05,1056,185723121X,9781857231212,"adventure,epic fantasy,fantasy"
Robert,,Jordan,,Fires of Heaven,The Wheel of Time,5,"The bonds and wards that hold the Great Lord of the Dark are slowly failing, but still his fragile prison holds. The Forsaken, immortal servants of the shadow, weave their snares and tighten their grip upon the realms of men, sure in the knowledge that their master will soon break free . . .

Rand al'Thor, the Dragon Reborn, knows that he must strike at the Enemy, but his forces are divided by treachery and by ambition. Even the Aes Sedai, ancient guardians of the Light, are riven by civil war.

Betrayed by his allies, pursued by his enemies and beset by the madness that comes to the male wielders of the One Power, Rand rides out to meet the foe.

And the Fires of Heaven scour the world.",1,Orbit,1994-11-03,928,1857232097,9781857232097,"adventure,epic fantasy,fantasy"
Robert,,Jordan,,Lord of Chaos,The Wheel of Time,6,"On the slopes of Shayol Ghul, the Myrddraal swords are forged, and the sky is not the sky of this world;

In Salidar the White Tower in exile prepares an embassy to Caemlyn, where Rand Al'Thor, the Dragon Reborn, holds the throne--and where an unexpected visitor may change the world....

In Emond's Field, Perrin Goldeneyes, Lord of the Two Rivers, feels the pull of ta'veren to ta'veren and prepares to march...

Morgase of Caemlyn finds a most unexpected, and quite unwelcome, ally....And south lies Illian, where Sammael holds sway...",1,Orbit,1995-08-10,1056,185723300X,9781857233001,"adventure,epic fantasy,fantasy"
Robert,,Jordan,,Crown of Swords,The Wheel of Time,7,"The Wheel of Time turns and Ages come and go. What was, what will be, and what is, may yet fall under the Shadow. Let the Dragon ride again on the winds of time.",1,"Little, Brown Book Group",1997-03-20,,1857234030,9781857234039,"adventure,epic fantasy,fantasy"
Robert,,Jordan,,Path of Daggers,The Wheel of Time,8,"Rand al'Thor, the Dragon Reborn, has conquered the city of Illian, struck down Sammael the Forsaken and shattered the armies of the invading Seanchan. Nynaeve, Aviendha and Elayne have broken the Dark One's hold on the world's weather and are poised to retake the throne of Andor. And Egwene al'Vere, leader of the exiled Aes Sedai, marches her army towards the White Tower.

But Rand and the Asha'man that follow him are slowly being corrupted by the madness that comes to the male wielders of the One Power. If they cannot remove the Dark One's taint from the True Source then none will survive to fight the Last Battle against the Shadow.

And as Rand struggles to maintain his sanity the Seanchan launch their counter-strike.",1,Orbit,1999-09-02,672,185723569X,9781857235692,"adventure,epic fantasy,fantasy"
Robert,,Jordan,,Winter's Heart,The Wheel of Time,9,"Rand al'Thor, the Dragon Reborn, is slowly succumbing to the taint that the Dark One has placed upon the saidin - the male half of the True Source. His Asha'man followers are also showing signs of the insanity that once devastated the world and brought the Age of Legends to an end.

And as Rand falters, the Shadow falls across a stricken land. In the city of Ebou Dar the Seanchan, blind to the folly of their cause, marshal their forces and continue their relentless assault. In Shayol Ghul the Forsaken join together to destroy the Dragon.

Rand's only chance is to hazard the impossible and remove the taint from the saidin. But to do so he must master a power from the Age of Legends that none have ever dared to risk - a power that can annihilate Creation and bring an end to Time itself.",1,Orbit,2001-11-01,704,1841490717,9781841490717,"adventure,epic fantasy,fantasy"
Robert,,Jordan,,Crossroads of Twilight,The Wheel of Time,10,"Fleeing from Ebou Dar with the kidnapped Daughter of the Nine Moons, whom he is fated to marry, Mat Cauthon learns that he can neither keep her nor let her go, not in safety for either of them, for both the Shadow and the might of the Seanchan Empire are in deadly pursuit. Perrin Aybara seeks to free his wife, Faile, a captive of the Shaido, but his only hope may be an alliance with the enemy. Can he remain true to his friend Rand and to himself? For his love of Faile, Perrin is willing to sell his soul. At Tar Valon, Egwene al'Vere, the young Amyrlin of the rebel Aes Sedai, lays siege to the heart of Aes Sedai power, but she must win quickly, with as little bloodshed as possible, for unless the Aes Sedai are reunited, only the male Asha'man will remain to defend the world against the Dark One, and nothing can hold the Asha'man themselves back from total power except the Aes Sedai and a unified White Tower. In Andor, Elayne Trakand fights for the Lion Throne that is hers by right, but enemies and Darkfriends surround her, plotting her destruction. If she fails, Andor may fall to the Shadow, and the Dragon Reborn with it. Rand al'Thor, the Dragon Reborn himself, has cleansed the Dark One's taint from the male half of the True Source, and everything has changed. Yet nothing has, for only men who can channel believe that saidin is clean again, and a man who can channel is still hated and feared -- even one prophesied to save the world. Now, Rand must gamble again, with himself at stake, and he cannot be sure which of his allies are really enemies.",1,Orbit,2003-11-06,832,1841491837,9781841491837,"adventure,epic fantasy,fantasy"
