first_name,middle_name,last_name,other_authors,title,series,series_num,description,copies,publisher,publish_date,pages,isbn10,isbn13,tags
Ally,,Carter,,Heist Society,Heist Society,1,"Kat wants to leave the family business. But that's not easy if your family are a gang of exclusive, world-class thieves... When a mobster accuses Kat's dad of stealing his priceless art collection, Kat knows there's only one thing to do - she has to find the paintings and steal them back. But with only two weeks, a teenage crew, a plan that will take her across Europe and her dad's life on the line, can she pull off the biggest heist in history?",1,Orchard Books,2011-09-01,352,1408309556,9781408309551,"adventure,crime,romance,young adult"
Sarwat,,Chadda,,Devil's Kiss,Devil's Kiss,1,"Bilquis San Greal grows up knowing she will have to make sacrifices to be in the Knights Templar. Her childhood friend Kay uses King Solomon's cursed mirror, drawing the attention of one of the most dangerous of the Templars' enemies. Now Billi will have to make sacrifices greater than she'd ever imagined.",1,Penguin UK,2009-05-07,278,0141325879,9780141325873,"fantasy,supernatural,young adult"
Sara,,Zarr,,"Lucy Variations, The",,,"Lucy Beck-Moreau once had a promising future as a concert pianist. She performed at festivals and won awards; all the right people knew who she was. That was all before she turned twelve. Now, aged sixteen, it's over for her. Sara Zarr deftly draws readers into the glamorous and high-pressure world of top-level music competitions and complicated family dynamics in this moving and eloquent coming-of-age story.",1,Usborne Publishing Ltd,2013-05-01,352,1409562689,9781409562689,"bildungsroman,music and arts,young adult"
Benjamin,,Zephaniah,,Gangsta Rap,,,"Ray has given up school. He sees no point in education and despises authority. And then he has no choice about school as he is excluded. But Ray also has troubles at home, which means he has nowhere to stay and ends up sleeping in the local record shop, owned by his friend Marga Man.
Ray and his friends attend a Social Exclusion Project which means they can develop their music skills. Marga Man gets a record deal for them, and they become local heroes. But another rap band takes a dislike to Ray's music and gang warfare is the result.",1,Bloomsbury Publishing PLC,2004-06-19,336,0747565651,9780747565659,"black authors,music and arts,young adult"
Vineeta,,Vijayaraghaven,,Motherland: The Other Side of My Heart,,,"Maya has not been back to southern India, where she was born, for three years. At fifteen, she would rather spend the summer with her New York friends, but her mother wants her to go to Tamil Nadu to embrace her heritage and the devoted relatives who raised her until she was four.

Maya's uncle and aunt welcome her to share their home among the tea plantations. But it is Maya's grandmother, Maya's first ""mother,"" around whom her summer revolves. Over the course of three months, Maya comes to terms with her divided loyalties and learns the cause of the estrangement she feels between her mother and herself.

Motherland reverses the classic migration story in a journey from west to east, America to India. Maya's coming of age is also a coming home, a chance to resolve the claims of the past so she can meet the promise of the future.",1,Chicken House Ltd,2007-10-15,231,1904442153,9781904442158,"cultural,young adult"
Eleanor,,Updale,,"Montmorency and the Assassins: Master, Criminal, Spy?",Montmorency,3,"As the 19th century draws to a close, war is in the air, and influenza is sweeping the globe. Montmorency and his companion, Lord George Fox-Selwyn, are offered an attractive job. Can they trace some rare specimens stolen from the collection of a reclusive naturalist? Their search leads them to Italy.",1,Scholastic,2006-05-01,480,043996380X,9780439963800,"adventure,historical fiction,young adult"
Sue,,Townsend,,Adrian Mole and The Weapons of Mass Destruction,Adrian Mole,7,"Adrian Mole and The Weapons of Mass Destruction is the sixth book in Sue Townsend's brilliantly funny Adrian Mole series. Wednesday April 2nd My birthday. I am thirty-five today. I am officially middle-aged. It is all downhill from now. A pathetic slide towards gum disease, wheelchair ramps and death. Adrian Mole is middle-aged but still scribbling. Working as a bookseller and living in Leicester's Rat Wharf; finding time to write letters of advice to Tim Henman and Tony Blair; locked in mortal combat with a vicious swan called Gielgud; measuring his expanding bald spot; and trying to win-over the voluptuous Daisy . . . Adrian yearns for a better more meaningful world. But he's not ready to surrender his pen yet... Bestselling author Sue Townsend has been Britain's favourite comic writer for over three decades. 'Hilarious. Deft, gleeful mockery impales modish fads, from home make-overs to new-age crazes, while fiercer irony is trained on the country's involvement with Iraq' Sunday Times 'Richly comic ... stuffed full of humour, tragedy, vanity, pathos and, very occasionally, wisdom' Guardian 'Completely hilarious, laugh-out-loud, a joy' Daily Mirror Sue Townsend is Britain's favourite comic author. Her hugely successful novels include eight Adrian Mole books, The Public Confessions of a Middle-Aged Woman (Aged 553/4), Number Ten, Ghost Children, The Queen and I, Queen Camilla and The Woman Who Went to Bed For a Year, all of which are highly acclaimed bestsellers. She has also written numerous well-received plays. She lives in Leicester, where she was born and grew up.",1,Penguin,2005-09-01,480,0141015888,9780141015880,"humour,political fiction,young adult"
Sue,,Townsend,,Adrian Mole: The Prostrate Years,Adrian Mole,8,"Adrian Mole is thirty-nine and a quarter. He lives in the country in a semi-detached converted pigsty with his wife Daisy and their daughter. His parents George and Pauline live in the adjoining pigsty. But all is not well. The secondhand bookshop in which Adrian works is threatened with closure. The spark has fizzled out of his marriage. His mother is threatening to write her autobiography (A Girl Called Shit). And Adrian's nightly trips to the lavatory have become alarmingly frequent. As his troubles multiply, a drunken call to old flame Dr Pandora Braithwaite (BA, MA, PhD, MP and Junior Minister) awakens memories of what might have been and causes Adrian to wonder: is Pandora the only one who can possibly save him?",1,Penguin UK,,432,0141034734,9780141034737,"humour,young adult"
G.P.,,Taylor,,Wormwood,,,"It is London, 1756. In his Bloomsbury attic sits Dr Sabian Blake - astronomer, scientist, and master of the Cabala.

Dr Blake is in possession of the Nemorensis, an ancient leather-bound book that holds the secrets of the universe. Scribbled into one of its margins is a mysterious prophecy, and deciphering it could prove the key to saving London from a catastrophic fate. But there are others interested in the Nemorensis too, for more sinister reasons . . .

This tale of sorcery, treachery, intrigue and supernatural strife from the author of the international bestseller Shadowmancer is set against a rich historical backdrop and will enthrall readers to the very last page.",1,Faber and Faber,2004-06-03,320,0571221505,9780571221509,"fantasy,religious fiction,young adult"
Sarah,,Stovell,,Mothernight,,,"""I was beginning to realise that time didn't move forwards here. It just spun round and round, circling an old date, endlessly."" So says seventeen-year-old Olivia who spends the summer at the home of her boarding school friend, the brilliant, distant, lonely Leila. Their intense relationship circles Leila's painful past: a dreadful accident when she was five, and then the sudden death of her infant brother four years later. Olivia meets Leila's childhood friend Rosie, a disturbing, manipulative influence, and Katherine, Leila's step-mother: bitter, damaged and unforgiving. Now on the verge of adulthood, Leila decides to confront her past and her family, but the atmosphere of blame and recrimination hangs as heavy as the summer heat and will prove more powerful than she could have ever imagined.",1,Snowbooks Ltd,2008-03-10,,1905005806,9781905005802,"lgbt,young adult"
