first_name,middle_name,last_name,other_authors,title,series,series_num,description,copies,publisher,publish_date,pages,isbn10,isbn13,tags
Bernard,,Ashley,,Smokescreen,,,"Ellie has been scared of water since her mum drowned, so when her dad decides to move to a pub by a canal, Ellie is afraid. But she soon thinks there's something more disturbing about the pub than just its setting. Something is going on at the weekly music night, and Ellie is determined to find out what, despite warnings to back off.",1,Usborne Publishing Ltd,2006-06-30,304,0746067917,9780746067918,"crime,thriller,young adult"
Em,,Bailey,,Shift,,,"There were two things everyone knew about Miranda Vaile. The first was that she had no parents – they were dead. And the second was that they were dead because Miranda had killed them.

Olive hasn’t always been a loner – she used to be the school queen-bee. But that was before her breakdown. Now she can only watch as new girl Miranda latches on to her ex-best friend Katie, talking like Katie, dressing like Katie and even going out with Katie’s boyfriend.

And then Katie dies. Everyone thinks it was a tragic accident. But Olive isn’t so sure. What if Miranda really is a killer . . ?",1,Electric Monkey,2012-05-07,320,1405261161,9781405261166,"mystery,paranormal,suspense,thriller,young adult"
Jennifer,Lynn,Barnes,,Raised by Wolves,Raised by Wolves,1,"At the age of four, Bryn watched a rabid werewolf brutally murder her parents. Alone in the world, she was rescued and taken in by Callum, the alpha of his pack. Now fifteen, Bryn's been as a human among werewolves, adhering to pack rule. Little fazes her. But the pack's been keeping a secret...",1,Quercus,2010-09-16,304,085738029X,9780857380296,"fantasy,paranormal,romance,young adult"
Helen,,Brandom,,Writing in the Sand,,,"16-year-old Amy is used to keeping secrets - Mum's illness, her runaway sister, her ex-boyfriend. But she has one secret that can't be kept. Now she has two choices: tell the truth about the abandoned baby, or keep quiet...for ever.",1,Usborne Publishing Ltd,2014-04-01,320,140956391X,9781409563914,"family drama,relationships,young adult"
Melvin,,Burgess,,Lady: My Life as a Bitch,,,"A sexually active, rebellious teenager is transformed into a confused and frightened dog by a tramp with magical powers. Sandra has a lot of growing up to do quickly if she is to survive as a scrounging stray in a rough dogs' world. She experiences all the physical aspects of being a dog, including running with a pack and going on heat. She must decide whether she wants to recover her humanity, and if so how to do it - doubly difficult as her brain is reduced to the scattered consciousness of a dog.",1,Puffin,2003-02-06,208,0141310286,9780141310282,"animals,humour,young adult"
Suzanne,,Collins,,Mockingjay,Hunger Games,3,"Against all odds, Katniss Everdeen has survived the Hunger Games twice. But now that she's made it out of the bloody arena alive, she's still not safe. The Capitol is angry. The Capitol wants revenge...",1,Scholastic,2010-08-25,448,1407109375,9781407109374,"adventure,dystopian,fantasy,romance,sci-fi,young adult"
Suzanne,,Collins,,Catching Fire,Hunger Games,2,"Set in a dark vision of the near future, a terrifying reality TV show is taking place. Twelve boys and twelve girls are forced to appear in a live event called The Hunger Games. There is only one rule: kill or be killed. When sixteen-year-old Katniss Everdee steps forward to take her younger sister's place in the games, she sees it as a death sentence. But Katniss has been close to death before. For her, survival is second nature.",1,Scholastic,2009-09-07,480,1407109367,9781407109367,"adventure,dystopian,fantasy,romance,sci-fi,young adult"
Robert,,Cormier,,"Rag and Bone Shop, The",,,"A seven-year-old girl is brutally murdered. A twelve-year-old boy named Jason was the last person to see her alive -- except, of course, for the killer. Unless Jason is the killer. It's a high-profile case, and everyone wants answers, including an influential senator. So the police call in an expert interrogator, a man named Trent, a man with a stellar reputation: He always gets a confession. When Jason and Trent come face to face, the truth will come out. That's what an interrogation is for, to bring out the truth. Or is it?",1,"Penguin Books, Limited",2002-07-04,160,0141314443,9780141314440,"crime,mystery,suspense,thriller,young adult"
Sarah,,Crossan,,One,,,"Grace and Tippi are twins - conjoined twins.
And their lives are about to change.
No longer able to afford homeschooling, they must venture into the world - a world of stares, sneers and cruelty. Will they find more than that at school? Can they find real friends? And what about love?
But what neither Grace or Tippi realises is that a heart-wrenching decision lies ahead. A decision that could tear them apart. One that will change their lives even more than they ever imagined.",1,Bloomsbury Childrens,2016-06-02,192,1408827212,9781408827215,"disabilities,family drama,young adult"
Melissa,,Darnell,,Crave,The Clann,1,"Savannah Colbert has never known why she's so hated by the kids of the Clann. Nor can she deny her instinct to get close to Clann golden boy Tristan Coleman. Especially when she recovers from a strange illness and the attraction becomes nearly irresistible. It's as if he's a magnet, pulling her gaze, her thoughts, even her dreams. Her family has warned her to have nothing to do with him, or any members of the Clann. But when Tristan is suddenly everywhere she goes, Savannah fears she's destined to fail.

For years, Tristan has been forbidden to even speak to Savannah Colbert. Then Savannah disappears from school for a week and comes back…different, and suddenly he can't stay away. Boys seem intoxicated just from looking at her. His own family becomes stricter than ever. And Tristan has to fight his own urge to protect her, to be near her no matter the consequences….",1,MIRA Ink,2012-04-06,432,1848450966,9781848450967,"fantasy,paranormal,romance,vampires,young adult"
James,,Dashner,,Scorch Trials,Maze Runner,2,"Thomas was sure that escape from the maze meant he and the Gladers would get their lives back. But no one knew what sort of life they were going back to. The earth is a wasteland. Government and order have disintegrated and now Cranks, people driven to murderous insanity by the infectious disease known as the Flare, roam the crumbling cities hunting for their next victim ... and meal.Thomas can only wonder - does he hold the secret of freedom somewhere in his mind? Or will he forever be at the mercy of WICKED?",1,Chicken House,2014-06-05,368,1909489417,9781909489417,"adapted to screen,adventure,dystopian,fantasy,sci-fi,young adult"
James,,Dashner,,Death Cure,Maze Runner,3,"Thomas knows that WICKED can't be trusted, but they say the time for lies is over, that they've collected all they can from the Trials and now must rely on the Gladers, with full memories restored, to help them with their ultimate mission. To complete the blueprint for the cure to the Flare.

What Wicked doesn't know is that something's happened that no Trial or Variable could have foreseen. Thomas has remembered far more than they think. And he knows that he can't believe a word of what WICKED says.

The time for lies is over. But the truth is more dangerous than Thomas could ever imagine.",1,Chicken House,2014-06-05,336,1909489425,9781909489424,"adapted to screen,adventure,dystopian,fantasy,sci-fi,young adult"
Phil,,Earle,,Being Billy,,,"Faces flashed before my eyes. And for every face there was a time that they had let me down. Each punch that landed was revenge, my chance to tell them I hadn't forgotten what they did. Eight years in a care home makes Billy Finn a professional lifer. And Billy's angry - with the system, the social workers, and the mother that gave him away.",1,Penguin,2011-01-06,272,0141331356,9780141331355,"abuse,bildungsroman,mental health,young adult"
Linzi,,Glass,,Ruby Red,,,"In Ruby Winters' world, colour opens some doors and slams others shut. Her opulent Johannesburg neighbourhood is a far cry from the streets of Soweto where anger and hatred simmer under the surface. Ruby can't resist the blue-eyed Afrikaans boy who brings her the exciting rush of first love, but whose presence brings hushed whispers and disapproving glances. She might not see race, colour or creed - but it seems everybody else does...This dazzling novel will entrance teenage and adult readers alike.",1,Penguin,2008-03-06,224,0141320931,9780141320939,"cultural,historical fiction,political,young adult"
William,,Goldman,,"Princess Bride, The",,,"The Princess Bride Beautiful, flaxen-haired Buttercup has fallen for Westley, the farm boy, and when he departs to make his fortune, she vows never to love another. So when she hears that his ship has been captured by the Dread Pirate Roberts - who never leaves survivors - her heart is broken.",1,Bloomsbury Publishing,1999-10-20,416,0747545189,9780747545187,"adapted to screen,classics,fantasy,humour,romance,young adult"
Michael,,Grant,,Plague,Gone,4,"It's been eight months since all the adults disappeared. Gone.

They've survived hunger. They've survived lies. But the stakes keep rising, and the dystopian horror keeps building. Yet despite the simmering unrest left behind by so many battles, power struggles, and angry divides, there is a momentary calm in Perdido Beach.

But enemies in the FAYZ don't just fade away, and in the quiet, deadly things are stirring, mutating, and finding their way free. The Darkness has found its way into the mind of its Nemesis at last and is controlling it through a haze of delirium and confusion. A highly contagious, fatal illness spreads at an alarming rate. Sinister, predatory insects terrorize Perdido Beach. And Sam, Astrid, Diana, and Caine are plagued by a growing doubt that they'll escape—or even survive—life in the FAYZ. With so much turmoil surrounding them, what desperate choices will they make when it comes to saving themselves and those they love?",1,Electric Monkey,2012-04-02,560,1405256583,9781405256582,"dystopian,horror,sci-fi,young adult"
John,,Green,,"Fault in Our Stars, The",,,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.",1,Penguin,2013-01-03,336,0141345659,9780141345659,"adapted to screen,bildungsroman,family drama,romance,young adult"
Karen,,Mahoney,,Iron Witch,The Iron Witch,1,"Freak. That's what they call seventeen-year-old Donna Underwood at Ironbridge High School. Aided by Xan, a gorgeous half-fey dropout, Donna must save her best friend's life - and that means betraying one of the world's greatest secrets and confronting the very thing that destroyed her family.",1,Corgi Childrens,2011-01-20,304,0552563811,9780552563819,"fantasy,paranormal,romance,young adult"
Oisin,,McGann,,Small-Minded Giants,,,"Beyond the huge domed roof of Ash Harbour, deadly storms and Arctic temperatures have stripped the Earth bare. Resources are limited and access to power is all-important for the aggressive industry giants.

When sixteen-year-old Solomon Wheat's father goes missing and is accused of murder, he's desperate to uncover the truth. Searching through the under-city's skeletal maze, Sol's every move is watched by the menacing Clockworkers and the mysterious Dark-Day Fatalists as he tries desperately to find his father.

Even more sinister secrets are exposed when it becomes clear that the Machine which keeps the fragile city alive is running out of power. All of a sudden, the future of Ash Harbour rests on the shoulders of one young man and his unlikely accomplices. Can Sol take on the city's underworld and survive?",1,Corgi Childrens,2007-07-05,368,0552554731,9780552554732,"action,adventure,dystopian,mystery,sci-fi,thriller,young adult"
Sophie,,McKenzie,,Blood Ties,Blood Ties,1,"When Theo discovers the father he thought died when he was a baby is still alive, he's determined to find him. The clues lead him to lonely Rachel, who has problems of her own, including parents who compare her unfavourably to her long-dead sister. But when Rachel and Theo are attacked by men from RAGE - the Righteous Army against Genetic Engineering - they are rescued by strangers and taken to meet a mysterious figure who leads them to make startling discoveries about their identities, which will affect their past, present, and future in dramatic and life-altering ways...",1,Simon & Schuster Childrens Books,2008-07-07,448,1847382754,9781847382757,"mystery,romance,sci-fi,suspense,thriller,young adult"
Sophie,,McKenzie,,"Girl, Missing","Girl, Missing",1,"Lauren is adopted and eager to know more about her mysterious past. But when she discovers she may have been snatched from her family as a baby, her whole life suddenly feels like a sham. Why will no one answer her questions? How can she find her biological parents? And could her adoptive parents really have been responsible for kidnapping her?

Running away from her family to seek out the truth, Lauren's journey takes her deeper and deeper into danger as she realises that someone wants to stop her uncovering what really happened when she was a baby... at any cost...",1,Simon & Schuster UK,2009-10-15,304,1416917322,9781416917328,"mystery,thriller,young adult"
Stephenie,,Meyer,,Twilight,The Twilight Saga,1,"Isabella Swan's move to Forks, a small, perpetually rainy town in Washington, could have been the most boring move she ever made. But once she meets the mysterious and alluring Edward Cullen, Isabella's life takes a thrilling and terrifying turn.
Up until now, Edward has managed to keep his vampire identity a secret in the small community he lives in, but now nobody is safe, especially Isabella, the person Edward holds most dear. The lovers find themselves balanced precariously on the point of a knife -- between desire and danger.",2,Hachette Digital,2009-02-26,513,1904233651,9781904233657,"adapted to screen,fantasy,paranormal,romance,suspense,vampires,young adult"
Stephenie,,Meyer,,New Moon,The Twilight Saga,2,"For Bella Swan, there is one thing more important than life itself: Edward Cullen. But being in love with a vampire is more dangerous than Bella ever could have imagined. Edward has already rescued Bella from the clutches of an evil vampire but now, as their daring relationship threatens all that is near and dear to them, they realise their troubles may just be beginning ...",1,Atom,2009-10-27,512,1905654618,9781905654611,"adapted to screen,fantasy,paranormal,romance,suspense,vampires,young adult"
PC,,Cast,Kristin Cast,Hunted,House of Night,5,"The door closed with a sickening thud of finality, shutting my friends out and leaving me alone with my enemy, a fallen angel, and the monstrous bird creature his ancient lust had created. Then I did something I'd only done twice before in my entire life. I fainted.' It's all happening, though Zoey Redbird wishes it wasn't. She has her friends back, which is great. But a dark angel has taken over the House of Night, supported by High Priestess Neferet. Not so great. This leaves Zoey hiding out with the (supposedly friendly) red fledglings in Tulsa's prohibition-era tunnels. The not greatness continues.

Zoey has some boy-thoughts to distract her, with a chance to make-up with super-hot-ex Eric. But thoughts of the archer that died, semi-permanently, in her arms also keep distracting her. Then he shows up as Neferet's newest minion. Well, hell. Zoey and friends need a plan to put things right, soon, if she's to keep both head and heart intact.",2,Atom Books,,439,190565457X,9781905654574,"fantasy,paranormal,romance,vampires,young adult"
PC,,Cast,Kristin Cast,Tempted,House of Night,6,"Zoey Redbird, now High Priestess of the shattered House of Night, is doing her best to hold everything together while dealing with her beloved, injured grandmother, her moody boyfriend, her secretive best friend, and the aftermath of the victory over her former mentor and a terrible, beautiful dark angel.

But Neferet and Kalona have only been banished, not defeated, and everyone knows they're heading straight for the Vampyre High Council, where Zoey must follow.

Zoey might be a High Priestess, but she's still just a teenager. And she's the only hope the world has.",1,Atom,2010-04-27,336,1905654588,9781905654581,"fantasy,paranormal,romance,vampires,young adult"
PC,,Cast,Kristin Cast,Betrayed,House of Night,2,"It seems that (un)life is going pretty well for Zoey Redbird. She's settled in at the House of Night finishing school and is coming to terms with the vast powers the vampyre goddess, Nyx, has given her. She even has a boyfriend ... or two. Best of all, Zoey finally feels she has found somewhere she belongs. Then the unthinkable happens.

Human teenagers are being killed, and all the evidence points to the vampires at Zoey's school. While danger stalks the humans from Zoey's past life, she begins to realise that the very powers that made her so unique might also threaten those she loves. Then, when she needs her new friends the most, death strikes the House of Night. Zoey finds herself facing a betrayal that could break her heart and jeopardise the very fabric of her world.",1,,,,1905654324,9781905654321,"fantasy,paranormal,romance,vampires,young adult"
PC,,Cast,Kristin Cast,Untamed,House of Night,4,"Life sucks when your friends are pissed at you. Just ask Zoey Redbird - she's become an expert on suckiness. In one week she has gone from having three boyfriends to having none, and from having a close group of friends who trusted and supported her, to being an outcast. Speaking of friends, the only two Zoey has left are undead and unMarked. And Neferet has declared war on humans, which Zoey knows in her heart is wrong. But will anyone listen to her? Zoey's adventures at vampyre finishing school take a wild and dangerous turn as loyalties are tested, shocking true intentions come to light, and an ancient evil is awakened in PC and Kristin Cast's spellbinding fourth House of Night novel.",2,Atom Books,,413,1905654561,9781905654567,"fantasy,paranormal,romance,vampires,young adult"
PC,,Cast,Kristin Cast,Marked,House of Night,1,"When sixteen-year-old Zoey is marked by the Tracker, she knows her old life is over. Now she has to leave her friends and family to join the House of Night school, where there's only one subject Zoey needs to study: Vampyre 101.

Of course, there's always a catch, and this one's nice and simple: if you fail you die...",1,Atom,,,1905654316,9781905654314,"fantasy,paranormal,romance,vampires,young adult"
PC,,Cast,Kristin Cast,Dragon's Oath,House of Night Novellas,1,"The all-new House of Night Novellas will delve into the backgrounds of some of the Tulsa House of Night's most important - and mysterious - professors. Beginning with Dragon Lankford, DRAGON'S OATH tells the story of the House of Night's formidable fencing instructor and warrior, whose mercy for one beast in the past will come back to haunt him in the future.",1,Atom,2011-07-12,160,1907411186,9781907411182,"fantasy,paranormal,romance,vampires,young adult"
Courttia,,Newland,,Society Within,,,"SOCIETY WITHIN takes us back to the Greenside Estate, West London, scene of Courttia Newland's ground-breaking and hugely successful first novel, THE SCHOLAR. Newly arrived on the estate is Elisha: sweet, bright, sassy and just eighteen. As Elisha negotiates some new territory with more than fair share of dark corners, we take in the vividly interlocking lives of the other Greensiders: cool, ambitious Valerie, with some bad secrets to deal with; Little Stacey, looking for his first girl; Orin, dealing, stealing and trying to stay away from anything too lethal.",1,"Little, Brown Book Group Limited",2000-09-21,320,0349111804,9780349111803,"black authors,urban fiction,young adult"
Mary,E,Pearson,,Adoration of Jenna Fox,Jenna Fox Chronicles,1,"A seventeen-year-old girl wakes from a year-long coma and is told her name is Jenna Fox. She doesn't remember the accident; she doesn't remember her life; she doesn't remember herself. Her parents show her home movies of her past, but is she really the same girl she sees on the screen?",1,Walker,2010-04-05,272,1406323012,9781406323016,"dystopian,sci-fi,young adult"
