book_id,title,author,other_authors,summary,tags,original_publication_year,category,series,series_number,book_url
1661,100 Shades of White,Preethi Nair,,There's East There's West and then there is Maya,family drama,2003,General fiction,,,https://barhamlibrary.xyz/books/1661/100-shades-of-white/
704,"158-Pound Marriage, The",John Irving,,"On a New England campus, Viennese housewife Utchka and her aspiring writer husband live a rather placid life with their two children.Until, that is, they meet Severin Winter, Professor of German and wrestling coach, and his delicate wife Edith at a faculty party. Utchka and Severin are rather taken with one another, and, conveniently, their spouses appear to be similarly smitten. A bizarre ménage a quatre is the result of these convoluted desires, and what starts out as a bit of fun is soon subject to the darker machinations of obsession",literary fiction,1974,General fiction,,,https://barhamlibrary.xyz/books/704/158-pound-marriage-the/
1539,1984,George Orwell,,The book of the 20th century...haunts us with an ever- darker relevance.,contemporary classics,1949,General fiction,,,https://barhamlibrary.xyz/books/1539/1984/
1725,1989,Val McDermid,,"The world is on the brink of revolution, and Allie Burns is on a mission.","crime, thriller",2022,General fiction,,,https://barhamlibrary.xyz/books/1725/1989/
537,"19th Wife, The",David Ebershoff,,"Jordan returns from California to Utah to visit his mother in jail. As a teenager he was expelled from his family and religious community, a secretive Mormon offshoot sect. Now his father has been found shot dead in front of his computer, and one of his many wives - Jordan's mother - is accused of the crime.
Over a century earlier, Ann Eliza Young, the nineteenth wife of Brigham Young, Prophet and Leader of the Mormon Church, tells the sensational story of how her own parents were drawn into plural marriage, and how she herself battled for her freedom and escaped her powerful husband, to lead a crusade to end polygamy in the United States.
Bold, shocking and gripping, The 19th Wife expertly weaves together these two narratives: a pageturning literary mystery and an enthralling epic of love and faith.","historical mystery, religious fiction, adapted to screen",2008,General fiction,,,https://barhamlibrary.xyz/books/537/19th-wife-the/
487,206 Bones,Kathy Reichs,,"The gripping Temperance Brennan novel from world-class forensic anthropologist Kathy Reichs, the international no. 1 bestselling crime thriller writer and the inspiration behind the hit TV series Bones.

When Dr Temperance Brennan is accused of mishandling the autopsy of a missing heiress, a routine case swiftly turns sinister. But before Tempe can get to the one man with the information she needs, he turns up dead.

In Montreal, three elderly women are found murdered, their bodies brutally discarded. Even though the clues don't add up, Tempe is certain of a link between their deaths and that of the heiress.

Has Tempe made grave errors, or is she being sabotaged by an unseen enemy? What is frighteningly clear is that more than just Tempe's career is at stake. Her life is also at risk.","crime, mystery, suspense, thriller",2009,General fiction,Temperance Brennan,12,https://barhamlibrary.xyz/books/487/206-bones/
1722,22 Seconds,James Patterson,,Written with Maxine Paetro,crime,2022,General fiction,,,https://barhamlibrary.xyz/books/1722/22-seconds/
549,26a,Diana Evans,,"Identical twins, Georgia and Bessi, live in the loft of 26 Waifer Avenue. It is a place of beanbags, nectarines and secrets, and visitors must always knock before entering. Down below there is not such harmony. Their Nigerian mother puts cayenne pepper on her Yorkshire pudding and has mysterious ways of dealing with homesickness; their father angrily roams the streets of Neasden, prey to the demons of his Derbyshire upbringing. Forced to create their own identities, the Hunter children build a separate universe. Older sister Bel discovers sex, high heels and organic hairdressing, the twins prepare for a flapjack empire, while baby sister Kemy learns to moonwalk for Michael Jackson. It is when the reality comes knocking that the fantasies of childhood start to give way. How will Georgia and Bessi cope in a world of separateness and solitude, and which of them will be stronger? Wickedly funny and devastatingly moving, 26a is an extraordinary first novel. Part fairytale, part nightmare, it moves from the mundane to the magical, the particular to the universal with exceptional flair and imagination. It is for anyone who has had a childhood, and anyone who knows what it is to lose one. * Winner of the 2005 Orange New Writers Prize * Diana Evans won the 2006 British Books Awards Writer of the Year",psychological fiction,2005,General fiction,,,https://barhamlibrary.xyz/books/549/26a/
1027,2cool2btrue,Simon Brooke,,"Charlie Barrett is ready for a career change. It's not that ten years of modelling haven't been fun - the Paris shows, the nightclub guest lists, the smart flat and even smarter girlfriend. But, at 33, adverts for comfy cardigans and the Stannah Stairlift are beckoning. So when a chance meeting results in Charlie being offered the job as the face of 2cool2btrue, he readily accepts. 2cool is the web equivalent of Armani, Prada and Gucci; the sexiest thing in cyberspace and everyone wants a piece of it.

As their marketing guru, Charlie's days are spent flicking through magazines looking for luxury products for the website to endorse, his nights a whirl of launch parties and champagne. But things start to go wrong. 2cool's owners disappear; so does a large amount of money. And when Charlie is investigated for fraud, the only person who can help is an eccentric journalist called Nora.","humour, lad lit",,General fiction,,,https://barhamlibrary.xyz/books/1027/2cool2btrue/
1606,"39 Steps, The",John Buchan,,One of the finest and most highly admired thrillers ever written.,"suspense, thriller, contemporary classics",1996,General fiction,,,https://barhamlibrary.xyz/books/1606/39-steps-the/
1570,About a Boy,Nick Hornby,,How cool was Will Freeman?,family drama,1998,General fiction,,,https://barhamlibrary.xyz/books/1570/about-a-boy/
